CKG_NM,CKG_MTRL_CN
갈릭치킨,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T
갈비탕,[재료] 갈비 1kg | 무 작은것 1/4토막| 다시마 2장| 대파 1대| 계란지단| 당면 삶은것 2컵 [양념] 국간장 5스푼| 소금 적당량| 후춧가루 적당량 
갈치감자조림,[재료] 갈치| 감자 2개| 양파 1개| 대파 약간| 청양고추 약간 [양념] 진간장 6큰술| 고추가루 3큰술| 맛술 2큰술| 다진마늘 1큰술
갈치조림,[재료] 갈치 1마리| 무 1줌| 감자 1/2개| 물 2컵| 풋고추 2개 [양념] 고춧가루 2큰술| 고추장 0.5큰술| 다진 마늘 1큰술| 간장 2큰술| 설탕 0.5큰술| 참기름 약간| 맛술 1큰술
갈치찌개,[재료] 갈치(大) 1+1/2마리| 무 나박 썬것 1컵| 양파 1/2개| 애호박 1/2개 | 두부 1/2모| 풋고추 1개| 팽이버섯 1/2줌| 쑥갓 약간| 대파 1/2대 [양념] 식용유 2스푼| 고춧가루 3스푼| 고추장 1스푼| 멸치다시물 6컵| 소금 0.3 스푼| 국간장 1스푼| 생강술 1스푼| 후춧가루 약간
감자고로케,[재료] 감자(중) 5개| 당근 1개| 양파 1개| 스팸 1/2통(또는 갈은 돼지고기)| 빵가루| 전분가루| 계란| 밀가루 [양념] 소금 약간| 카레가루 취향껏
감자고추장찌개,[재료] 감자 1개| 돼지고기(국거리) 100g| 호박 1/4개| 양파 1/2개| 대파 1/2대| 멸치다시물 2~3컵 [양념] 고추장 1큰술| 된장 1/2큰술| 국간장 2작은술| 다진마늘 1작은술| 고춧가루 1작은술| 참기름 약간| 소금 약간| 후춧가루 약간
감자국,[재료] 감자 1개| 두부 1모| 둥근 호박 1개| 양파 1/2개| 야채육수 1컵| 물 4컵 [양념] 고춧가루 2큰술| 들기름 2큰술| 통마늘 2개| 국간장 2큰술| 후추 약간| 맛선생 1큰술
감자당근볶음,[재료] 감자 2개| 당근 1개| 올리브유 1T [양념] 소금 약간| 볶음참깨 1/2T
감자두부조림,[재료] 두부 1모| 감자(소) 6개(650g)| 양파(중) 1개(150g)| 잔파(쪽파) 6줄기 [양념] 진간장 3T| 국간장 3T| 물 1cup| 매실청 1T| 아가베/물엿/올리고당 2T| 간마늘 1T| 고추장 2T| 고추가루 2T
가래떡김말이,[재료] 가래떡 1줄| 조미김 1봉
감자버터구이,[재료] 감자 1봉지(9개) [양념] 버터 1조각| 소금 2꼬집| 설탕 기호에따라약간| 슈가파우더 기호에따라약간
감자베이글,[재료] 강력분 400g| 이스트 2.5g| 소금 5g| 물 150~170g| 설탕 21g| 으깬감자 100~150g
감자볶음,[재료] 감자 중간크기 2개| 브로콜리 데친 것 1/2컵| 양파 1/2개| 체다치즈 1장| 통마늘 6개 [양념] 소금 0.5스푼| 후춧가루 약간| 올리브유 2큰술
감자부침개,[재료] 깻잎| 감자| 애호박| 부침가루| 청양고추(or당근or양파)
감자사라다,[재료] 감자 [양념] 마요네즈 2| 고추냉이 0.3| 깨 1| 소금 0.3| 후추 넉넉히
감자샌드위치,[재료] 식빵 또는 통밀빵 4장| 양파 60g| 감자 480g| 건포도 60g| 오이 조금| 맛살 조금| 치즈 2장| 양상추또는로메인 [양념] 머스터드소스| 마요네즈 10숟가락| 소금 약간| 후추 약간 
감자샐러드,[재료] 감자(中크기) 1개| 프랑크소시지 2개| 푸른잎 채소 적당히 [드레싱 재료] 홀그레인 머스타드 2Ts| 다진마늘 1ts| 올리브유 1Ts| 레몬즙 2.5Ts| 파슬리가루 약간| 후추 약간| 소금 약간
감자샐러드모닝빵,[재료] 모닝빵 적당량 | 감자 3개(300g)| 계란 2개| 햄 40g| 사과 1/4개| 다진양파 2T| 다진피클 2T [양념] 마요네즈 4T| 머스터드소스 2T| 꿀 1Ts| 소금 1/4Ts| 레몬즙 약간| 후추 약간
감자샐러드빵,[반죽] 강력분 200g| 설탕 30g| 소금 4g| 인스턴트드라이이스트 4g| 계란 30g| 따뜻한우유 100g| 무염버터 20g [감자샐러드] 삶은 감자 200g| 다진 양파 20g| 다진 피클 20g| 게맛살 50g| 마요네즈 35g| 설탕 10g| 소금 약간| 후추 약간 [마무리] 계란물 약간| 파슬리가루 약간
가래떡꼬치,[재료] 포장된 가래떡 3줄| 나무꼬치 4개| 땅콩분태 조금| 오일 조금 [양념] 간장 1TS| 고추장 1TS| 케찹 1+1/2TS| 칠리소스 1/2TS| 황설탕 1TS| 올리고당 1TS
감자송편,[재료] 감자녹말 520g| 설탕 4t| 소금 1t| 끓는 물 2컵| 비트가루 1작은술| 말차가루 1작은술| 단호박가루 1작은술| 삶은통팥
감자스프,[재료] 감자(中) 2개| 생크림 1C| 우유 1C| 양파 1/2개| 베이컨 2장| 체다치즈 1장| 피자치즈 약간 [양념] 버터 1T| 육수 1C
감자오이샐러드,[재료] 감자 2개| 오이 1/2개| 양파 작은것 1/2개| 슬라이스햄 3장 [양념] 마요네즈 2TS| 머스타드소스 1TS| 설탕 2ts| 소금 1ts| 후추가루 조금
감자전,[재료] 감자(중) 5개(약 500g)| 대파나 쪽파 썰은 것 1줌| 식용유나 포도씨오일 넉넉히 [양념] 후춧가루 적당량| 소금 약간
감자조림,[재료] 애기감자| 진간장 3큰술| 물| 설탕| 물엿 2큰술| 깨소금
감자짜글이,[재료] 감자 2~3개| 양파 1개| 스팸 1캔| 청양고추 2~3개| 대파 1개 [양념] 고추장 1큰술| 고춧가루 2큰술| 된장 1/3큰술| 간장 3~4큰술| 설탕 1큰술| 물 2컵| 마늘 1큰술
감자찌는법,[재료] 감자 | 천일염
감자채전,[재료] 자주 감자 3개(400g)| 부추 1줌| 양파 1/2개| 녹말 2ts| 올리브유 적당량 [양념] 소금 1/2ts
감자치즈구이,[재료] 감자 중간 사이즈 8개| 슬라이스 체다치즈 4장| 베이컨 4장 [양념] 소금 약간| 후춧가루 약간| 마요네즈 1큰술| 레몬즙 0.5큰술| 고운고춧가루 약간| 생크림요플레 1통
감자치즈볼,[재료] 감자 3개| 치즈| 튀김가루| 계란 1개| 빵가루 [양념] 소금 약간 
가리비비빔밥,[재료] 가리비살 16개가량| 밥 1공기| 쪽파 6줄기| 청양고추 2개 [양념] 간장 5스푼| 고추가루 2스푼| 다진마늘 1스푼| 맛술 2스푼| 매실액 1스푼| 올리고당 1스푼| 식초 0.5스푼| 후추 톡톡| 설탕 0.5스푼| 들기름 1스푼
감자칩,[재료] 감자 2개 [양념] 파슬리가루 1T| 소금 약간 [소스] 케첩 3T| 핫소스 1/2T
감자케이크,[재료] 감자中 3개| 양파 1/2개| 당근 1/5개| 베이컨 3장| 슬라이스치즈 2장| 메추리알 20개 [양념] 버터 1T| 소금 약간| 후춧가루 약간 [케첩소스] 케첩 3T| 간장 0.5T| 물엿 3T| 돈가스소스 1T| 다진마늘 0.5T| 물 2T
감자크로켓,[재료] 감자 2~3개| 당근| 양파| 호박| 햄| 계란| 빵가루| 파슬리가루 약간 [양념] 소금 약간 | 후추 약간 
감자햄조림,[재료] 감자 3개(250g)| 양파 1/2개| 마늘 1알| 햄 130g| 식용유 2T [양념장] 간장 4T| 맛술 2T| 올리고당 2T| 설탕 1T| 후추가루 약간| 물 1/3컵
갑오징어무국,[재료] 새우 머리 2컵| 갑오징어 1컵| 무 2줌| 쌀뜨물 6컵 [양념] 고추가루 2T| 굴소스 1T| 소금(기호에 맞게 가감) 1t| 마늘 1t| 파 약간
강된장,[재료] 쇠고기 50그람정도| 감자 1개| 양파1/2개| 다진마늘 1/2숟가락| 청양고추 1~1+1/2개| 멸치육수용 멸치 1/2줌| 물 1+1/2공기 [양념] 된장 크게 가득떠서 1숟가락| 요리술 1술| 고춧가루 1술| 설탕 2/3티스푼| 참기름 1술
강정,[재료] 견과류 섞어서 420g정도 [양념] 쌀엿 1+1/2컵| 설탕 1+1/2컵
갸토쇼콜라,[재료] 박력분 40g| 코코아가루 50g| 다크초콜릿 100g| 버터 90g| 달걀 4개| 설탕 120개| 생크림 60g [데코레이션] 슈가파우더| 생크림
건새우미역국,[재료] 불린 미역 3줌| 건새우 1줌| 다시국물 1500ml [양념] 멸치액젓 1큰술| 국간장 2큰술
건새우아욱국,[재료] 아욱 1팩| 건새우 1줌| 양파 1/2개| 쫑쫑썬 대파 3T| 쌀뜬물 500ml| 멸치다시마 육수 2+1/2컵 [양념] 된장 2T| 매운고춧가루 1T| 국간장1 T| 천일염 약간
가리비치즈구이,[재료] 가리비 10개| 슬라이스치즈 2장| 피자치즈 3큰술 [양념] 소금 조금| 후춧가루 조금| 유기농토마토잼 3큰술
검은콩국수,[재료] 서리태 1컵| 콩삶을물 4컵| 소면 90g| 땅콩 15알| 검정깨 1숟갈| 오이채 약간| 참외채 약간 [양념] 소금 약간
게살샌드위치,[재료] 게맛살 긴거 2줄| 삶은 달걀 2개| 피망 1/2개| 식빵 [양념] 마요네즈 2큰술| 소금 조금
게살파스타,[재료] 스파게티면 1인분| 마늘 2쪽| 양파 1/3개| 느타리버섯 1줌| 청양고추 2개| 게살 2/3컵| 올리브오일 1+1/2T| 소금 약간| 후추 약간
겨울초겉절이,[재료] 겨울초 1소쿠리(소)| 파 1줌| 홍초 2개| 땡초 2개 [양념] 간장 6숟가락| 액젓 6숟가락| 돌복숭식초(일반식초도 가능 해요) 6숟가락| 설탕 3숟가락| 고추가루 6숟가락| 깨소금 조금| 들기름 조금| 마늘 3숟가락
견과류멸치볶음,[재료] 멸치 4줌 크게 | 마늘 10개| 풋고추 2개| 포도씨유 4T| 땅콩 1줌| 호두 1줌 [양념] 꿀 2T| 황설탕 1T| 흰설탕 2T| 간장 4T| 깨소금 적당량
견과류쌈장,[재료] 된장 5큰술| 시판쌈장 3큰술| 고추장 2큰술 [양념] 멸치육수(or물) 1큰술| 다진마늘 1큰술| 다진파 1큰술| 깨소금 약간| 꿀 2큰술| 견과류1~2큰술
견과류쿠키,[재료] 버터 140g| 설탕 70g| 우리밀(박력분) 240g| 계란노른자 1개| 견과류 80g [양념] 소금 소량
경상도식소고기무국,[재료] 소고기 300g| 대파 5뿌리| 무우 1/4| 콩나물 1봉 [양념] 고추가루 3T| 액젓 3T| 소금 1T| 쇠고기다시다 1T| 참기름 2T
계란감자샌드위치,[재료] 식빵 18장| 오이 1개| 햄 1/2개| 피클 조금| 양파 1개| 계란 3개| 당근 1/3개| 감자 2개| 마요네즈 1컵| 머스타드 2스푼| 설탕 2스푼| 소금 1/3스푼
계란두부부침,[재료] 두부 1/2모| 소금| 계란 1개| 부추| 당근 [초간장] 간장| 식초
가오리조림,[재료] 가오리 2쪽| 무 1/6개| 생새우 1국자| 양파 1개| 청양고추 2개| 홍고추 2개| 대파 2대| 통깨 조금 [조림양념장] 고추장 1큰술| 고춧가루 2큰술| 다진마늘 1큰술| 물 1컵| 간장 2큰술| 요리당 2큰술| 참치액 2큰술| 생강술 1큰술| 들기름 1큰술| 후춧가루 조금| 소금 약간
계란마요샌드위치,[재료] 모닝빵 8개| 크래미 4개| 삶은 계란 8개| 소금 약간| 후추 약간| 마요네즈 적당량| 케찹 적당량| 위생장갑
계란말이,[재료] 계란 3개| 다시물 3T| 무 약간| [다시물]| 물 5C| 다시마(사방5cm) 6개| 가쓰오부시 30g [양념] 설탕 1t| 간장 1/2t| 소금 1/4t
계란볶음밥,[재료] 찬밥 3공기| 당근 1/2개| 애호박 1/2개| 계란 4개| 베이컨 1/2컵| 밥새우 1/2컵| 다진 파 1/3컵 [양념] 식용유 4큰술| 다진 마늘 0.5큰술| 굴소스 2큰술| 통후추 간 것 약간| 깨소금 3큰술| 소금간 약간 
계란빵,[재료] 핫케이크가루 300g| 우유 180~200ml| 슬라이스치즈 2장| 파슬리가루 약간| 달걀 3개| 메추리알 12개 [양념] 마요네즈| 소금| 후추| 설탕
계란오이샌드위치,[재료] 계란 3개| 오이 1/3개| 소금 1꼬집| 식빵 4장(+@)| 마요네즈 2T| 연겨자 0.5-1T| 후추 톡톡
계란장조림,[재료] 계란 5개 [양념] 진간장 5TS| 황설탕 2TS| 생강 1쪽| 통깨 조금
계란죽,[재료] 밥| 김| 계란| 잔파| 양송이버섯 [양념] 소금 약간| 참기름 약간
계란지단,[재료] 계란 1개| 참기름| 넓은접시
계란찜,[재료] 계란 4개| 양파 1/4개| 대파 1/2대| 마늘 1알| 물 400cc [양념] 새우젓 1T
계란쿠키,[재료] 버터 70g| 설탕 65g| 달걀 1개| 달걀 노른자 1개| 바닐라 오일 3~4방울| 박력분 100g| 아몬드가루 20g| 슈가파우더 20g| 소금 약간
가자미구이,[재료] 가자미(250g) 2마리| 녹말가루 2큰술| 청주 4큰술| 소금 약간| 후추 약간 [생강간장소스] 간장 5큰술| 굴소스 1큰술| 흑설탕 3큰술| 맛술 3큰술| 물엿 1큰술| 후춧가루 1/4작은술| 청주 2큰술| 생강 1/2개| 마늘 5개| 물 1컵(200ml) [물녹말] 물 4큰술| 녹말가루 1큰술 [추가(선택)] 크러쉬트페퍼 약간
계란푸딩,[재료] 달걀 2개| 설탕 4숟가락| 우유 120ml| 캬라멜시럽 약간
계란피자,[재료] 삶은달걀 1개| 모짜렐라치즈 약간| 파슬리가루 [양념] 피자소스 약간
계란후라이,[재료] 계란흰자 3개| 노른자 1개| 녹말가루 0.5작은술| 파래가루 약간 [양념] 소금 약간| 토마토케찹 기호에따라
고갈비,[재료] 고등어 2마리 [양념] 고추장 2숟가락| 고춧가루 0.5숟가락| 설탕 0.3숟가락| 다진 마늘 0.5숟가락| 생강술 2숟가락| 물 3숟가락| 부추 다진것 3숟가락| 후춧가루 약간| 깨소금 1숟가락
고갈비구이,[재료] 자반고등어 1마리| 쌀뜨물 적당량| 오일 약간| 실파 조금| 통깨 조금 [양념] 고추장 1TS| 고춧가루 1ts| 청주 1TS| 맛술 1ts| 올리고당 1ts| 마늘(다지기) 3알| 참기름 1/2ts| 생강가루 1/4ts
고구마간장조림,[재료] 고구마| 무 1/4개| 파 [고구마조림양념] 간장| 물 1/2컵| 설탕 1/2큰술| 올리고당 3큰술| 깨| 소금 [무국 양념] 고춧가루| 국간장| 다진마늘 1/2큰술| 소금| 후추| 참기름 1큰술
고구마경단,[재료] 찹쌀가루 1컵| 고구마 찐 것 5~6개 [양념] 소금 1/5스푼| 설탕 1스푼| 카스테라가루
고구마구이,[재료] 베이컨 10장| 칵테일새우 10개| 고구마 작은 것 1개 [양념] 케찹 기호에따라
고구마그라탕,[재료] 고구마 으깬것 250g| 생크림 2큰술| 설탕 1큰술| 버터 1큰술| 아몬드슬라이스| 모짜렐라치즈 [커스타드크림] 우유 270ml| 박력분 25g| 노른자 3개| 설탕 60g| 바닐라오일 약간| 버터 20g
고구마된장찌개,[재료] 고구마 1개| 두부 1/2모| 양파 1/4개| 표고버섯 1개| 대파 약간| 된장 1큰술| 고추장 1/2큰술| 고춧가루 약간| 쌀뜨물+육수 4~5컵
고구마라떼,[재료] 고구마 1개(중간크기)| 우유 500cc| 꿀 4스푼| 잣가루 약간| 녹차가루 약간
고구마만두,[재료] 고구마 3개| 밤 3톨| 호두 2개| 꿀 1큰술| 빨간젤리 조금| 허브잎 조금 [양념] 설탕 2큰술
고구마맛탕,[재료] 고구마 [양념] 꿀| 카놀라유
고구마머핀,[재료] 박력분 180g| 아몬드가루 50g| 버터 150g| 설탕 140g| 계란 3개| 베이킹파우더 4g| 소금 2g| 바닐라오일 조금| 고구마중간크기 1개| 우유 15ml
고구마무스케이크,[제노아즈 재료] 계란 6개(큰사이즈)| 설탕 160g| 박력분 150g| 녹인버터 60g| 물엿 30g| 바닐라액 조금 | [고구마 무스]| 고구마 4개(큰 사이즈)| 생크림 100cc| 오렌지술 1T| 꿀 20g| 계피가루 1/2ts| 휘핑할생크림 200cc| 설탕 2T| 럼주 1T | [시럽]| 물 100ml| 설탕 50ml| 럼주 1T| 레몬껍질 1/2개분량
고구마버터구이,[재료] 고구마 찐것 500g| 버터 50g| 설탕 20g| 피칸 30g| 우유 70g | 소금 1g| 계란노른자 2개| 피스타치오 약간
고구마볼,[재료] 고구마 3개| 카스테라 빵가루 1컵 [양념] 계피가루 1/2작은술| 녹차가루 1큰술| 설탕 2큰술| 소금 1작은술
고구마빠스,[재료] 고구마 중간크기 2개| 올리브유 2TS| 검은깨 조금 [시럽] 황설탕 3TS| 올리고당 3TS| 진간장 1ts| 올리브유 1TS
고구마빵,[재료] 강력분 170g| 박력분 40g| 인스턴트 드라이이스트 5g| 소금 4g| 설탕 35g| 버터 45g| 달걀 1개| 우유 90g [고구마충전물] 고구마 400g| 설탕 60g| 버터 25g| 고구마가루| 계란노른자물| 검은깨 약간
고구마샌드위치,[재료] 흑미쌀식빵 4장| 고구마 2개| 오이 1/2개| 양파 1/4개| 베이컨 40g [양념] 휘핑한생크림 2숟갈| 마요네즈 4숟갈| 허니 머스타드 기호에따라
고구마샐러드,[재료] 샐러드채소 2줌| 스위티 1개| 당근고구마 1개 [드레싱] 마요네즈 3큰술| 파인애플 슬라이스 1/2조각| 레몬즙 1큰술| 꿀 1큰술| 소금 약간
고구마샐러드샌드위치,[재료] 고구마 중간크기 4개 정도| 달걀 3개| 청피망| 홍피망| 양파| 크래미| 피클| 캔옥수수 [양념] 마요네즈| 허니머스타드| 씨겨자
고구마순무침,[재료] 말린고구마순| 대파 1대| 식용유 2스푼  [양념] 다진마늘 1스푼 | 국간장 2스푼 | 소금간 입맛에 따라| 맛술 2스푼 | 참기름 1스푼 | 후춧가루 약간| 깨소금 약간 
고구마스틱,[재료] 고구마 300g| 포도씨유 or식용유 [양념] 꽃소금 1/2작은술| 뉴슈가 1/2작은술
고구마스프레드,[재료] 고구마 작은거 1개 [양념] 우유 3숟가락| 설탕 2숟가락| 소금 1꼬집| 버터 2조각
고구마아이스크림,[재료] 고구마 200g| 우유 300g| 달걀 2개| 생크림 200g| 토핑용 고구마 150g [양념] 설탕 70g
고구마야채튀김,[재료] 고구마 1개| 양파 1/2개| 당근 1/5개| 느타리버섯 1줌 [튀김반죽] 튀김가루 1컵| 달걀 1개| 찬맥주 1/2컵 [간장소스] 간장 2큰술| 고춧가루 0.3큰술| 참기름 약간| 통깨 약간
고구마조림,[재료] 고구마 3개 (410g)| 포도씨유(튀김기름) 적당량 [양념] 간장 5숟갈| 물 5숟갈| 맛술 2숟갈| 설탕 2숟갈| 올리고당 2숟갈| 참기름 1숟갈| 검정깨 약간
고구마죽,[재료] 고구마| 찬밥 [양념] 소금 약간
고구마줄기김치,[재료] 고구마줄기| 청홍고추| 고추가루| 마늘| 양파| 배 [양념] 멸치액젓| 통깨| 소금| 설탕
고구마줄기볶음,[재료] 고구마줄기 [양념] 참기름| 마레솔트| 마늘| 통깨
고구마초코볼,[재료] 고구마中 3개(300g)| 건포도 2스푼| 초콜릿 100g| 아몬드| 땅콩 [양념] 꿀 1스푼| 소금 0.3스푼
고구마치즈고로케,[재료] 고구마 큰거 4개| 양파 1개| 캔옥수수 3큰술| 피자치즈 적당량| 밀가루 2큰술| 빵가루 150g| 계란 2개| 식용류 적당량
고구마치즈빵,[재료] 식빵 2장| 고구마 1개| 옥수수 [양념] 치즈| 크림소스
고구마치즈스틱,[재료] 고구마 큰거 2개| 모차렐라치즈(피자치즈) 1/2개| 버터 1T| 밀가루| 빵가루| 달걀 1개
고구마치즈케이크,[재료] 고구마 300g| 크림치즈 200g| 플레인요구르트 100g| 계란 3개| 꿀 3T| 럼주 1T| 레몬즙 1T| [머랭]| 설탕 40g| 흰자 3개 [나파주] 살구쨈 1T| 물엿 1T| 물 1T
고구마칩,[재료] 고구마(중간크기) 1개 [양념] 올리브유 적당량| 소금 약간
고구마카레,[재료] 고구마 큰거 3개| 고기 200g| 양파 2개| 당근 1/2개| 완두콩 1줌| 식용유 2큰술| 물 4~5컵 [양념] 고형카레 125g| 꿀 1큰술| 소금 조금
고구마커피,[재료] 작은크기 고구마 2개| 굵게 다진 아몬드가루 1큰술| 인스턴트커피 1작은술| 뜨거운 물 1/2컵| 바닐라아이스크림 3아이스크림쿠퍼 
고구마컵케이크,[재료] 달걀 4개(200g)| 설탕 100g| 밀가루박력분 120g| 시나몬가루 0.5T| 포도씨유 2T| 우유 2T| 럼주 1T| 플레인요거트 75g| 우유 40g [장식 재료] 시나몬가루| 스프링클 약간 [고구마크림 재료] 밤고구마 3개 [양념] 설탕 2T
고구마케이크,[재료] 달걀 2개| 박력분 120g| 베이킹파우더 1t| 고구마 120g| 박력분 1t [양념] 버터 100g| 흑설탕 100g| 꿀 2t
고구마케익,[재료] 강력분 200g| 중력분 50g| 베이킹 파우더 5g| 베이킹소다 3g| 소금 4g | 설탕 180g| 계란 3+1/2개(195g)| 포도씨유 140g| 물 100g | 고구마 페이스트 250g(삶아서 으깬것)| 고구마 다이스 250g (잘게 썰어 익힌 것)
고구마토스트,[재료] 고구마 조금 큰 것 4개| 식빵 6조각| 바나나 3개| 호두 1줌| 우유 1/2컵 [양념] 마요네즈 2스푼| 설탕 1/2스푼| 계피가루 1스푼
고구마핫도그,[재료] 비엔나소세지| 빵가루| 달걀| 고구마으깬거| 기름 [양념] 
고기김치전,[재료] 부침가루 500그램| 물 800ml [양념] 김치 1대접| 다진파 2대| 돼지고기다짐육 1대접
고기만두,[재료] 배추 5장| 돼지고기 다짐육 480g| 당근 1개| 당면 1줌| 두부 2모| 데친숙주 1공기| 부추 1대접| 계란 3개| 대파 1/2뿌리| 다진마늘 1큰술| 소금 1큰술| 만두피 [돼지고기 양념] 허브맛솔트 1큰술| 참기름 1큰술| 다진마늘 1큰술
